Time;index;reftemp;sensX-3;sensX-2;sensX-1;sensX0;sensX1;sensX2;sensX3
360;361;818;255;810;677;284;290;1077;677
361;362;822;268;803;673;276;277;1078;673
362;363;822;270;800;672;282;268;1077;672
363;364;819;270;800;672;282;268;1077;672
364;365;819;269;799;678;273;268;1079;678
365;366;827;262;796;680;283;275;1076;680
367;368;898;268;794;679;282;279;1077;679
368;369;910;265;782;681;286;279;1072;681
369;370;910;261;769;681;280;284;1066;681
370;371;917;261;769;681;280;284;1066;681
371;372;917;239;690;624;269;268;1005;624
372;373;906;259;730;675;282;282;1048;675
374;375;905;262;738;716;289;281;1068;716
375;376;903;263;730;711;292;272;1063;711
376;377;903;258;720;711;288;277;1057;711
377;378;908;260;722;719;290;267;1062;719
378;379;908;263;725;718;287;278;1064;718
379;380;910;264;722;719;290;277;1063;719
380;381;910;262;719;720;287;278;719;1071
381;382;934;259;722;719;280;275;1061;719
382;383;910;259;715;726;284;268;715;1071
383;384;910;262;711;724;284;286;711;1069
384;385;921;260;707;725;288;283;707;1069
385;386;921;261;703;731;294;275;703;1072
386;387;931;261;703;731;294;275;703;1072
387;388;931;258;703;735;294;272;703;1074
388;389;940;253;696;746;296;279;696;1076
390;391;941;248;693;747;299;284;693;1076
391;392;924;247;694;751;301;282;694;1079
392;393;924;247;695;758;303;282;695;1083
393;394;934;247;695;758;303;282;695;1083
394;395;934;261;697;751;314;287;697;1085
395;396;926;250;696;756;310;272;696;1085
397;398;988;261;698;755;314;285;698;1087
398;399;1010;260;693;759;313;288;693;1086
399;400;1010;259;684;753;313;292;684;1081
400;401;1021;265;673;756;322;289;673;1081
401;402;1021;259;676;765;315;295;676;1083
402;403;1033;259;676;765;315;295;676;1083
403;404;1033;265;664;769;321;297;664;1082
404;405;1030;262;662;772;322;288;662;1083
406;407;1028;259;651;778;324;293;651;1082
407;408;1023;258;649;784;342;283;649;1090
408;409;1023;261;650;789;335;293;650;1090
409;410;1027;261;650;789;335;293;650;1090
410;411;1027;263;647;792;341;302;647;1092
411;412;1017;269;648;791;337;300;648;1091
413;414;1025;257;641;799;340;294;641;1092
414;415;1029;246;639;798;347;300;639;1094
415;416;1029;251;633;806;345;294;633;1094
416;417;1025;257;638;802;345;300;638;1094
417;418;1025;258;638;802;357;308;638;1099
418;419;1015;258;638;802;357;308;638;1099
419;420;1015;260;632;798;340;298;632;1088
420;421;1027;256;633;806;350;306;633;1096
422;423;1029;256;636;803;342;295;636;1092
423;424;1029;261;635;800;349;307;635;1094
424;425;1029;254;628;800;361;293;628;1096
425;426;1030;254;628;800;361;293;628;1096
426;427;1030;256;634;806;342;297;634;1093
427;428;1088;254;632;803;350;296;632;1094
429;430;1095;253;621;810;348;278;621;1092
430;431;1092;261;613;822;349;295;613;1094
431;432;1092;260;604;821;355;306;604;1092
432;433;1102;262;597;830;365;286;597;1097
433;434;1102;266;592;836;362;288;592;1096
434;435;1102;263;596;832;366;310;596;1097
435;436;1102;239;562;841;359;291;562;1085
436;437;1098;268;584;847;378;297;584;1103
437;438;1098;268;592;851;373;310;592;1106
438;439;1098;265;584;858;370;299;584;1104
439;440;1109;277;583;860;390;291;583;1112
440;441;1109;274;583;858;394;291;583;1113
441;442;1112;274;583;858;394;291;583;1113
442;443;1112;267;569;859;398;298;569;1110
443;444;1113;267;570;865;377;298;570;1104
445;446;1113;262;565;860;400;304;565;1109
446;447;1118;258;564;870;390;302;564;1109
447;448;1118;264;560;866;406;298;560;1112
448;449;1107;240;532;876;393;306;532;1100
449;450;1107;261;556;873;398;313;556;1110
450;451;1107;270;554;885;398;316;554;1114
451;452;1107;260;549;878;390;309;549;1106
452;453;1104;263;543;875;407;292;543;1109
454;455;1104;244;519;882;397;303;519;1099
455;456;1127;262;538;876;393;311;538;1102
456;457;1127;263;540;881;394;316;540;1105
457;458;1158;263;540;881;394;316;540;1105
458;459;1158;262;526;885;406;318;526;1106
459;460;1158;254;518;892;400;305;518;1104
461;462;1171;261;516;900;406;326;516;1108
462;463;1166;254;506;900;422;301;506;1110
463;464;1166;252;512;903;407;306;512;1108
464;465;1171;252;512;903;407;306;512;1108
465;466;1171;252;504;907;420;310;504;1112
466;467;1168;258;506;910;416;313;506;1112
468;469;1170;256;501;919;414;310;501;1113
469;470;1168;261;504;916;421;313;504;1115
470;471;1168;260;505;922;415;313;505;1116
471;472;1169;254;503;924;420;312;503;1118
473;474;1169;245;511;950;422;338;511;1132
474;475;1156;245;511;950;422;338;511;1132
475;476;1156;260;500;919;414;312;500;1112
476;477;1161;250;504;924;411;313;504;1115
478;479;1159;264;496;916;410;319;496;1108
479;480;1157;239;447;803;392;288;447;1039
480;481;1157;263;491;918;411;297;491;1107
481;482;1162;263;491;918;411;297;491;1107
482;483;1162;260;499;920;414;290;499;1112
483;484;1170;261;495;918;411;295;495;1109
485;486;1166;263;493;925;420;312;493;1114
486;487;1189;264;490;924;420;309;490;1113
487;488;1189;265;488;923;414;303;488;1109
488;489;1191;258;484;927;413;312;484;1109
489;490;1191;262;480;926;422;310;480;1110
490;491;1191;258;477;922;417;308;477;1106
491;492;1191;258;478;932;422;315;478;1112
492;493;1196;258;474;931;425;314;474;1111
493;494;1194;252;470;934;439;306;470;1116
494;495;1194;257;478;935;429;314;478;1116
495;496;1195;256;471;933;434;316;471;1114
496;497;1195;253;472;936;433;308;472;1115
497;498;1199;253;472;936;433;308;472;1115
498;499;1199;257;463;937;443;319;463;1116
499;500;1191;253;465;936;444;319;465;1117
501;502;1200;263;464;940;445;321;464;1119
502;503;1198;260;456;937;452;318;456;1117
503;504;1198;259;460;933;454;315;460;1118
504;505;1202;259;460;933;454;315;460;1118
505;506;1202;253;452;945;457;309;452;1120
506;507;1203;260;454;944;454;316;454;1120
508;509;1204;254;451;949;467;319;451;1125
509;510;1202;234;410;830;423;303;410;1047
510;511;1202;256;447;948;470;323;447;1125
511;512;1198;258;450;947;460;321;450;1122
512;513;1198;252;446;945;455;316;446;1117
513;514;1197;248;442;942;465;318;442;1119
514;515;1197;253;444;946;462;319;444;1120
515;516;1197;250;441;950;462;322;441;1120
516;517;1195;251;445;940;450;317;445;1113
517;518;1195;250;436;948;464;309;436;1118
518;519;1192;252;440;947;468;325;440;1121
519;520;1192;252;449;945;461;334;449;1121
520;521;1190;252;449;945;461;334;449;1121
521;522;1190;256;446;953;461;315;446;1123
522;523;1194;266;448;955;467;322;448;1127
524;525;1191;258;448;965;477;321;448;1134
525;526;1190;259;439;961;482;313;439;1131
526;527;1190;254;441;963;474;310;441;1130
527;528;1193;260;445;959;471;310;445;1128
528;529;1193;258;448;956;467;316;448;1127
529;530;1193;264;447;964;480;317;447;1135
530;531;1193;271;441;963;483;321;441;1133
531;532;1199;245;441;985;460;258;441;1133
532;533;1201;256;439;961;479;323;439;1130
533;534;1201;256;436;959;476;325;436;1127
534;535;1200;256;426;968;489;319;426;1132
535;536;1200;286;432;972;486;323;432;1134
536;537;1198;286;432;972;486;323;432;1134
537;538;1198;261;421;972;484;327;421;1129
538;539;1193;241;404;969;482;329;404;1121
540;541;1198;260;418;972;482;342;418;1127
541;542;1197;231;374;848;447;316;374;1050
542;543;1197;260;409;967;484;323;409;1123
543;544;1197;254;409;966;480;318;409;1121
544;545;1197;251;418;975;479;318;418;1127
545;546;1191;258;413;973;487;325;413;1128
546;547;1176;247;394;932;473;306;394;1099
547;548;1176;251;408;977;489;320;408;1128
548;549;1181;252;404;981;503;316;404;1133
549;550;1181;234;361;857;473;314;361;1058
550;551;1184;248;407;989;504;336;407;1138
551;552;1184;250;404;991;511;333;404;1140
552;553;1189;250;404;991;511;333;404;1140
553;554;1189;248;397;995;517;335;397;1142
554;555;1180;263;393;993;516;325;393;1139
556;557;1185;252;400;1008;525;349;400;1151
557;558;1186;256;395;1008;520;337;395;1147
558;559;1186;228;376;1032;521;330;376;1149
559;560;1189;255;376;1032;521;330;376;1149
560;561;1189;251;393;1012;522;342;393;1148
561;562;1187;250;395;1015;523;345;395;1151
563;564;1190;232;377;1014;525;328;377;1144
564;565;1193;233;377;1020;523;337;377;1146
565;566;1193;248;390;1020;528;340;390;1153
566;567;1190;249;394;1021;529;340;394;1155
567;568;1190;252;391;1023;536;343;391;1157
568;569;1194;252;391;1023;536;343;391;1157
569;570;1194;255;389;1023;530;347;389;1154
570;571;1185;256;388;1030;534;348;388;1158
572;573;1184;254;391;1026;534;349;391;1158
573;574;1187;251;387;1030;535;336;387;1158
574;575;1187;252;389;1024;527;356;389;1153
575;576;1176;252;389;1024;527;356;389;1153
576;577;1176;250;391;1026;536;337;391;1158
577;578;1175;248;384;1033;526;336;384;1155
579;580;1179;258;393;1036;538;345;393;1164
580;581;1183;251;393;1033;544;348;393;1165
581;582;1183;261;393;1037;543;347;393;1166
582;583;1180;264;388;1043;549;351;388;1169
583;584;1180;239;350;896;512;329;350;1084
584;585;1189;239;350;896;512;329;350;1084
585;586;1189;260;391;1048;551;349;391;1173
586;587;1189;259;396;1054;555;350;396;1178
587;588;1188;261;391;1055;557;357;391;1178
588;589;1188;259;386;1050;554;348;386;1173
589;590;1183;265;389;1047;553;343;389;1172
590;591;1183;262;391;1059;557;351;391;1179
592;593;1183;262;391;1059;557;351;391;1179
593;594;1183;233;340;904;512;294;340;1083
594;595;1192;260;384;1058;566;361;384;1179
596;597;1190;258;384;1061;575;357;384;1184
597;598;1189;256;380;1059;573;357;380;1181
598;599;1189;261;381;1061;572;363;381;1182
599;600;1187;261;381;1061;572;363;381;1182
600;601;1187;260;380;1056;581;361;380;1183
601;602;1190;253;377;1071;570;364;377;1183
603;604;1186;252;375;1064;582;354;375;1184
604;605;1178;256;379;1069;575;364;379;1185
605;606;1178;256;369;1065;577;361;369;1181
606;607;1151;276;359;1025;591;370;359;1167
607;608;1151;255;370;1063;581;354;370;1182
608;609;1148;255;370;1063;581;354;370;1182
609;610;1148;247;374;1062;585;356;374;1184
610;611;1155;256;371;1061;597;357;371;1188
611;612;1147;245;369;1093;580;353;369;1192
612;613;1147;257;375;1066;600;363;375;1192
613;614;1144;256;374;1063;601;359;374;1191
614;615;1144;257;376;1063;607;363;376;1194
615;616;1141;257;376;1063;607;363;376;1194
616;617;1141;255;371;1066;616;359;371;1197
617;618;1138;257;371;1061;605;362;371;1191
619;620;1143;235;343;910;574;357;343;1110
620;621;1146;250;364;1009;598;361;364;1165
621;622;1146;254;373;1062;615;366;373;1196
622;623;1144;254;373;1062;615;366;373;1196
623;624;1144;255;373;1063;622;371;373;1199
626;627;1141;249;364;1060;627;369;364;1196
627;628;1149;258;360;1059;624;377;360;1193
628;629;1149;250;358;1066;632;374;358;1198
629;630;1140;250;362;1064;633;373;362;1199
630;631;1140;255;366;1062;630;384;366;1199
631;632;1141;234;345;1069;635;373;345;1195
632;633;1141;245;371;1068;626;374;371;1201
633;634;1143;256;367;1061;629;373;367;1198
635;636;1146;254;364;1063;627;377;364;1197
636;637;1121;257;362;1057;625;376;362;1193
637;638;1121;229;324;913;584;357;324;1108
638;639;1118;229;324;913;584;357;324;1108
639;640;1118;255;360;1058;625;381;360;1193
640;641;1120;234;334;1055;636;365;334;1186
642;643;1115;273;353;1099;640;371;353;1212
643;644;1120;229;323;904;597;364;323;1109
644;645;1120;248;359;1054;645;376;359;1199
645;646;1121;236;358;1048;656;380;358;1200
646;647;1121;253;353;1044;655;377;353;1196
647;648;1119;253;353;1044;655;377;353;1196
648;649;1119;263;367;1053;660;383;367;1207
649;650;1115;252;357;1049;644;347;357;1196
650;651;1111;264;361;1049;668;379;361;1206
651;652;1111;265;362;1040;662;377;362;1201
652;653;1120;242;334;905;621;361;334;1123
653;654;1120;260;369;1047;664;382;369;1207
654;655;1126;260;369;1047;664;382;369;1207
655;656;1126;266;377;1044;667;382;377;1210
656;657;1123;257;368;1050;648;357;368;1202
658;659;1117;261;377;1050;675;381;377;1215
659;660;1118;264;366;1050;673;378;366;1211
660;661;1118;286;376;1051;668;384;376;1213
661;662;1118;286;376;1051;668;384;376;1213
662;663;1118;270;375;1050;669;372;375;1212
663;664;1124;268;371;1046;675;378;371;1212
665;666;1121;266;377;1049;676;378;377;1215
666;667;1105;267;367;1049;673;372;367;1211
667;668;1105;259;371;1050;674;375;371;1213
668;669;1096;274;372;1049;678;380;372;1214
669;670;1096;267;379;1035;678;378;379;1212
670;671;1091;267;379;1035;678;378;379;1212
671;672;1091;265;371;1032;691;373;371;1212
672;673;1090;263;375;1029;699;383;375;1216
674;675;1080;260;375;1024;705;381;375;1216
675;676;1084;271;374;1026;705;381;374;1217
676;677;1084;262;383;1014;700;384;383;1214
677;678;1085;262;383;1014;700;384;383;1214
678;679;1085;265;380;1019;711;384;380;1219
679;680;1096;266;376;1020;713;376;376;1218
681;682;1099;267;382;1023;715;377;382;1222
682;683;1101;273;384;1016;710;385;384;1219
683;684;1101;267;384;1023;719;385;384;1225
684;685;1087;268;378;1025;712;383;378;1220
685;686;1087;265;376;1021;719;392;376;1221
686;687;1086;265;376;1021;719;392;376;1221
687;688;1086;251;368;1045;715;379;368;1225
688;689;1098;251;369;1047;704;372;369;1222
689;690;1087;268;374;1020;718;385;374;1219
690;691;1087;267;379;1021;721;380;379;1223
691;692;1090;240;359;1015;726;376;359;1215
692;693;1090;248;345;878;677;371;345;1138
693;694;1082;248;345;878;677;371;345;1138
694;695;1082;266;387;1025;727;380;387;1230
697;698;1047;259;379;1015;725;382;379;1222
698;699;1018;274;373;1013;724;384;373;1219
699;700;1018;230;316;874;687;374;316;1129
700;701;1021;226;316;866;684;372;316;1125
701;702;1021;263;361;994;742;382;361;1214
702;703;1008;250;323;854;699;367;323;1129
703;704;1008;266;364;987;744;392;364;1213
704;705;1013;252;357;979;754;380;357;1211
705;706;1010;262;364;977;757;384;364;1214
706;707;1010;266;365;973;761;383;365;1214
707;708;1012;263;364;971;759;383;364;1212
708;709;1012;260;361;1011;769;383;361;1230
709;710;1009;260;361;1011;769;383;361;1230
711;712;1009;263;364;963;764;387;364;1211
712;713;1013;261;361;964;766;380;361;1211
714;715;1009;266;363;960;766;383;363;1211
715;716;1013;234;339;940;783;395;339;1200
716;717;1013;264;367;963;768;386;367;1214
